category,label,moved,original,orig_label,prediction,pred_label,wup_sim
33006,Elton John Memorabilia,False,104762,Rock & Pop Artist (J) Memorabilia,104762,Rock & Pop Artist (J) Memorabilia,1.0
33008,Janis Joplin Memorabilia,False,104762,Rock & Pop Artist (J) Memorabilia,104762,Rock & Pop Artist (J) Memorabilia,1.0
33013,Moody Blues Memorabilia,False,104949,Rock & Pop Artist (M) Memorabilia,104949,Rock & Pop Artist (M) Memorabilia,1.0
33016,System of a Down Memorabilia,True,105032,Rock & Pop Artist (S) Memorabilia,104658,Rock & Pop Artist (A) Memorabilia,0.75
33021,Acoustic Guitars,False,3858,Guitars & Basses,3858,Guitars & Basses,1.0
33034,Electric Guitars,True,3858,Guitars & Basses,181223,Guitar & Bass Parts,0.6666666666666666
33050,Guitar Capos,False,180009,Guitar Parts & Accessories,180009,Guitar Parts & Accessories,1.0
33082,Generators,True,29518,Outdoor Power Equipment,3247,Power Tools,0.3333333333333333
33088,Work Benches,True,42622,Workshop Equipment,631,Tools & Workshop Equipment,0.8
33089,Tool Boxes,False,130140,Tool Boxes & Storage,130140,Tool Boxes & Storage,1.0
33156,Wedding Favors,False,11827,Wedding Supplies,11827,Wedding Supplies,1.0
33161,Wedding Tableware & Serveware,False,11827,Wedding Supplies,11827,Wedding Supplies,1.0
33164,Anti-Aging Products,False,11863,Skin Care Products,11863,Skin Care Products,1.0
33235,Nursery Picture Frames,False,66697,Nursery Décor,66697,Nursery Décor,1.0
33513,Lighting Products for Video Production,False,21162,Video Production & Editing Equipment,21162,Video Production & Editing Equipment,1.0
33757,Collectible Vehicle Hood Ornaments & Emblems,False,14024,Automobilia,14024,Automobilia,1.0
33758,Collectible License Plate Frames,False,14024,Automobilia,14024,Automobilia,1.0
33766,Collectible Firefighting & Rescue Alarms & Bells,False,4038,Firefighting & Rescue Collectibles,4038,Firefighting & Rescue Collectibles,1.0
33767,Collectible Firefighting & Rescue Hats & Caps,False,4038,Firefighting & Rescue Collectibles,4038,Firefighting & Rescue Collectibles,1.0
33768,Collectible Firefighting & Rescue Hoses & Nozzles,False,4038,Firefighting & Rescue Collectibles,4038,Firefighting & Rescue Collectibles,1.0
33769,Collectible Firefighting & Rescue Photos,False,4038,Firefighting & Rescue Collectibles,4038,Firefighting & Rescue Collectibles,1.0
33770,Collectible Firefighting & Rescue Pins & Buttons,False,4038,Firefighting & Rescue Collectibles,4038,Firefighting & Rescue Collectibles,1.0
33771,Collectible Firefighting & Rescue Statues & Figures,False,4038,Firefighting & Rescue Collectibles,4038,Firefighting & Rescue Collectibles,1.0
33772,Collectible Firefighting & Rescue Stickers & Decals,False,4038,Firefighting & Rescue Collectibles,4038,Firefighting & Rescue Collectibles,1.0
33828,Collectible Chinese Snuff Bottles (1900-Now),True,29443,Chinese Collectibles (1900-Now),149362,Asian Collectibles,0.75
33875,Scrapbooking Albums & Refills,True,183248,"Scrapbooking Albums, Refills & Protectors",11788,Scrapbooking & Paper Craft Supplies,0.6666666666666666
33915,Tattoo Flash,False,260797,Tattoo Supplies,260797,Tattoo Supplies,1.0
33916,Face & Body Piercing Supplies,False,33914,Tattoos & Body Art Products,33914,Tattoos & Body Art Products,1.0
33917,Tattoo Machines,True,33914,Tattoos & Body Art Products,260797,Tattoo Supplies,0.8
33919,Press-on Tattoos,True,260799,Temporary Tattoos,260797,Tattoo Supplies,0.6666666666666666
33929,Cordless Home Telephones & Handsets,False,3286,Home Telephones & Accessories,3286,Home Telephones & Accessories,1.0
33963,Computer Keyboards & Keypads,False,3676,"Computer Keyboards, Mice & Pointers",3676,"Computer Keyboards, Mice & Pointers",1.0
33972,Crossbows,False,181293,Archery Bows,181293,Archery Bows,1.0
34002,Scrapbooking Stickers,True,121833,Scrapbooking Embellishments,11788,Scrapbooking & Paper Craft Supplies,0.6666666666666666
34017,Cross Stitch Kits,True,183197,Hand Embroidery Sets & Kits,28141,Embroidery & Cross Stitch Supplies,0.8571428571428571
34032,Cross Stitch Patterns & Instructional Media,False,183199,Hand Embroidery Patterns & Instructional Media,183199,Hand Embroidery Patterns & Instructional Media,1.0
34054,Control Line & Freeflight Models & Kits,False,2562,"RC Model Vehicles, Toys & Control Line",2562,"RC Model Vehicles, Toys & Control Line",1.0
34058,Hobby RC Boat & Watercraft Body Parts & Interior,False,182203,Hobby RC Model Vehicle Body Parts & Interior,182203,Hobby RC Model Vehicle Body Parts & Interior,1.0
34061,"Hobby RC Car, Truck & Motorcycle Body Parts & Interior",True,182203,Hobby RC Model Vehicle Body Parts & Interior,182187,Hobby RC Model Vehicle Parts & Accessories,0.8571428571428571
34071,Handcrafted Jewelry Sets,False,110633,Handcrafted & Artisan Jewelry,110633,Handcrafted & Artisan Jewelry,1.0
34386,Furniture Accessories,True,3197,Home Furniture,11700,Home & Garden,0.6666666666666666
34936,Industrial Drywall Panels,True,260853,Industrial Drywall Construction,125008,Drywall Construction,0.0
34943,Palladium Bullion,False,39482,Bullion,39482,Bullion,1.0
34971,"Collectible Wreaths, Garlands & Plants",False,907,Holiday & Seasonal Collectibles,907,Holiday & Seasonal Collectibles,1.0
35043,Original International Movie Posters (1980-1989),False,35041,Original International Movie Posters,35041,Original International Movie Posters,1.0
35044,Original International Movie Posters (1990-1999),False,35041,Original International Movie Posters,35041,Original International Movie Posters,1.0
35061,Promotional Movie Calendars,False,90736,Merchandise & Promotional Movie Memorabilia,90736,Merchandise & Promotional Movie Memorabilia,1.0
35190,Cell Phone Mounts & Holders,False,9394,Cell Phone Accessories,9394,Cell Phone Accessories,1.0
35284,Estonia Stamps,False,4742,European Stamps,4742,European Stamps,1.0
35285,Latvia Stamps,False,4742,European Stamps,4742,European Stamps,1.0
35286,Lithuania Stamps,False,4742,European Stamps,4742,European Stamps,1.0
35288,Bulgaria Stamps,False,4742,European Stamps,4742,European Stamps,1.0
35289,Denmark & Faroe Islands Stamps,False,4742,European Stamps,4742,European Stamps,1.0
35628,John Deere Advertising & Print,False,35627,John Deere Advertising,35627,John Deere Advertising,1.0
35629,John Deere Brochures & Catalogs,False,35627,John Deere Advertising,35627,John Deere Advertising,1.0
35630,John Deere Hats & Caps,False,35627,John Deere Advertising,35627,John Deere Advertising,1.0
35631,John Deere Lunch Boxes,False,35627,John Deere Advertising,35627,John Deere Advertising,1.0
35632,John Deere Manuals,False,35627,John Deere Advertising,35627,John Deere Advertising,1.0
35633,John Deere Ornaments,False,35627,John Deere Advertising,35627,John Deere Advertising,1.0
35634,John Deere Signs,False,35627,John Deere Advertising,35627,John Deere Advertising,1.0
35635,Minneapolis-Moline Agriculture Advertising,False,827,Collectible Agriculture Advertising,827,Collectible Agriculture Advertising,1.0
35636,Oliver Agriculture Advertising,False,827,Collectible Agriculture Advertising,827,Collectible Agriculture Advertising,1.0
35645,Chewing Gum Advertising,True,872,Collectible Candy & Nuts Advertising,13587,Collectible Food & Beverage Advertising,0.8571428571428571
35654,Captain Morgan Advertising,False,820,Collectible Distillery Advertising,820,Collectible Distillery Advertising,1.0
35655,Dewar's Advertising,True,820,Collectible Distillery Advertising,35656,Distillery Advertising Merchandise,0.8888888888888888
35657,Distillery Print Advertising,False,35656,Distillery Advertising Merchandise,35656,Distillery Advertising Merchandise,1.0
35658,"Distillery Advertising Bottles, Decanters & Jugs",False,35656,Distillery Advertising Merchandise,35656,Distillery Advertising Merchandise,1.0
35659,Distillery Advertising Glasses,False,35656,Distillery Advertising Merchandise,35656,Distillery Advertising Merchandise,1.0
35660,Distillery Advertising Shirts & Hats,False,35656,Distillery Advertising Merchandise,35656,Distillery Advertising Merchandise,1.0
35661,Distillery Advertising Signs,False,35656,Distillery Advertising Merchandise,35656,Distillery Advertising Merchandise,1.0
35662,Distillery Advertising Tins,False,35656,Distillery Advertising Merchandise,35656,Distillery Advertising Merchandise,1.0
35663,Dairy Advertising Print Advertising,False,817,Collectible Dairy Advertising,817,Collectible Dairy Advertising,1.0
35664,Dairy Advertising Bottle Caps,False,817,Collectible Dairy Advertising,817,Collectible Dairy Advertising,1.0
35665,Dairy Advertising Posters & Prints,False,817,Collectible Dairy Advertising,817,Collectible Dairy Advertising,1.0
35666,Dairy Advertising Signs & Plaques,False,817,Collectible Dairy Advertising,817,Collectible Dairy Advertising,1.0
35668,McDonald's Mugs & Cups,False,35667,Collectible McDonald's Advertising,35667,Collectible McDonald's Advertising,1.0
35669,McDonald's Pins,False,35667,Collectible McDonald's Advertising,35667,Collectible McDonald's Advertising,1.0
35670,McDonald's Plates,False,35667,Collectible McDonald's Advertising,35667,Collectible McDonald's Advertising,1.0
35671,Taco Bell Advertising,False,849,Collectible Restaurant & Fast Food Advertising,849,Collectible Restaurant & Fast Food Advertising,1.0
35673,Texaco Print Advertising,False,35672,Collectible Texaco Advertising,35672,Collectible Texaco Advertising,1.0
35674,Texaco Banks,False,35672,Collectible Texaco Advertising,35672,Collectible Texaco Advertising,1.0
35675,Texaco Cans & Buckets,False,35672,Collectible Texaco Advertising,35672,Collectible Texaco Advertising,1.0
35676,Texaco Trucks & Cars,False,35672,Collectible Texaco Advertising,35672,Collectible Texaco Advertising,1.0
35677,Texaco Signs,False,35672,Collectible Texaco Advertising,35672,Collectible Texaco Advertising,1.0
35678,Valvoline Advertising,False,156204,Collectible Gas & Oil Company Advertising,156204,Collectible Gas & Oil Company Advertising,1.0
35680,Gas & Oil Print Advertising,False,165249,Gas & Oil Merchandise & Memorabilia,165249,Gas & Oil Merchandise & Memorabilia,1.0
35681,Gas & Oil Advertising Banks,True,165249,Gas & Oil Merchandise & Memorabilia,39,Collectible Gas & Oil Advertising,0.8571428571428571
35682,Gas & Oil Advertising Cans & Buckets,True,165249,Gas & Oil Merchandise & Memorabilia,39,Collectible Gas & Oil Advertising,0.8571428571428571
35683,Gas & Oil Advertising Trucks & Cars,True,165249,Gas & Oil Merchandise & Memorabilia,39,Collectible Gas & Oil Advertising,0.8571428571428571
35684,Gas & Oil Advertising Signs,False,165249,Gas & Oil Merchandise & Memorabilia,165249,Gas & Oil Merchandise & Memorabilia,1.0
35686,Coca-Cola Cigarette Lighters & Ashtrays,False,13600,Collectible Coca-Cola Advertising,13600,Collectible Coca-Cola Advertising,1.0
35687,Coca-Cola Cookie Jars & Canisters,False,13600,Collectible Coca-Cola Advertising,13600,Collectible Coca-Cola Advertising,1.0
35688,"Coca-Cola Dishes, Bowls & Plates",False,13600,Collectible Coca-Cola Advertising,13600,Collectible Coca-Cola Advertising,1.0
35690,Coca-Cola Watches,False,13600,Collectible Coca-Cola Advertising,13600,Collectible Coca-Cola Advertising,1.0
35691,Pepsi Clocks & Radios,False,13612,Collectible Pepsi Advertising,13612,Collectible Pepsi Advertising,1.0
35693,Soda Bottle Caps,False,35692,Soda Merchandise & Memorabilia,35692,Soda Merchandise & Memorabilia,1.0
35694,Soda Bottles,True,35692,Soda Merchandise & Memorabilia,36,Collectible Soda Advertising,0.8571428571428571
35695,Soda Cans,True,35692,Soda Merchandise & Memorabilia,36,Collectible Soda Advertising,0.8571428571428571
35696,"Soda Glasses, Cups & Mugs",False,35692,Soda Merchandise & Memorabilia,35692,Soda Merchandise & Memorabilia,1.0
35697,Soda Labels,False,35692,Soda Merchandise & Memorabilia,35692,Soda Merchandise & Memorabilia,1.0
35698,Soda Signs,True,35692,Soda Merchandise & Memorabilia,36,Collectible Soda Advertising,0.8571428571428571
35714,"Collectible Guides, Recipes, Games",True,3265,Collectible Barware,261676,"Collectible Flatware, Knives & Cutlery",0.6666666666666666
35716,Collectible Beer Print Advertising,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles,1.0
35717,Collectible Breweriana Clocks,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles,1.0
35719,Collectible German Beer Glasses,False,35718,Collectible Beer Glasses,35718,Collectible Beer Glasses,1.0
35721,Collectible Budweiser Beer Glasses,True,35720,Collectible US Beer Glasses,35718,Collectible Beer Glasses,0.8888888888888888
35722,Collectible Miller Beer Glasses,True,35720,Collectible US Beer Glasses,35718,Collectible Beer Glasses,0.8888888888888888
35725,Collectible German Beer Mugs,False,35724,Collectible Beer Mugs,35724,Collectible Beer Mugs,1.0
35728,Collectible Breweriana Playing Cards,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles,1.0
35729,Collectible Beer Posters & Prints,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles,1.0
35731,Collectible Budweiser Tap Handles & Knobs,False,35730,Collectible Beer Tap Handles & Knobs,35730,Collectible Beer Tap Handles & Knobs,1.0
35732,Collectible Miller Tap Handles & Knobs,False,35730,Collectible Beer Tap Handles & Knobs,35730,Collectible Beer Tap Handles & Knobs,1.0
35733,Collectible Beer Towels,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles,1.0
35738,Collectible Bear Piggy Banks,True,35737,Collectible Animal Piggy Banks,35736,Collectible Still & Piggy Banks,0.8571428571428571
35739,Collectible Piggy Banks,True,35737,Collectible Animal Piggy Banks,35736,Collectible Still & Piggy Banks,0.8571428571428571
35741,Collectible Character Piggy Banks,False,35736,Collectible Still & Piggy Banks,35736,Collectible Still & Piggy Banks,1.0
35742,Collectible Vehicle Piggy Banks,False,35736,Collectible Still & Piggy Banks,35736,Collectible Still & Piggy Banks,1.0
35748,"Collectible Casino Glasses, Cups & Mugs",True,66504,Collectible Casino Memorabilia,898,Casino Collectibles,0.8
35749,Collectible Casino Tables & Layouts,False,898,Casino Collectibles,898,Casino Collectibles,1.0
35788,Collectible Chinese Cups & Mugs (1900-Now),True,29443,Chinese Collectibles (1900-Now),149362,Asian Collectibles,0.75
35789,Collectible Chinese Dolls & Bears (1900-Now),True,29443,Chinese Collectibles (1900-Now),149362,Asian Collectibles,0.75
35790,Collectible Chinese Jewelry (1900-Now),False,29443,Chinese Collectibles (1900-Now),29443,Chinese Collectibles (1900-Now),1.0
35791,"Chinese Prints, Paintings & Posters (1900-Now)",True,29443,Chinese Collectibles (1900-Now),149362,Asian Collectibles,0.75
35792,Collectible Japanese Dolls (1900-Now),False,29449,Japanese Collectibles (1900-Now),29449,Japanese Collectibles (1900-Now),1.0
35793,"Japanese Prints, Paintings & Posters (1900-Now)",True,29449,Japanese Collectibles (1900-Now),13736,Asian Collectibles (1900-Now),0.8888888888888888
35794,Collectible Japanese Vases & Jars (1900-Now),False,29449,Japanese Collectibles (1900-Now),29449,Japanese Collectibles (1900-Now),1.0
35796,Collectible Black Americana Cards,False,29457,Black Americana Collectibles,29457,Black Americana Collectibles,1.0
35798,Collectible Black Americana Photos,False,29457,Black Americana Collectibles,29457,Black Americana Collectibles,1.0
35799,"Collectible Black Americana Prints, Posters & Paintings",False,29457,Black Americana Collectibles,29457,Black Americana Collectibles,1.0
35801,"Collectible Hawaiian Dishes, Bowls & Plates",False,2000,Hawaiian Collectibles,2000,Hawaiian Collectibles,1.0
35802,Collectible Hawaiian Jewelry,False,2000,Hawaiian Collectibles,2000,Hawaiian Collectibles,1.0
35803,Collectible Hawaiian Lamps & Lighting,False,2000,Hawaiian Collectibles,2000,Hawaiian Collectibles,1.0
35804,Collectible Hawaiian Photos,False,2000,Hawaiian Collectibles,2000,Hawaiian Collectibles,1.0
35805,"Collectible Hawaiian Prints, Posters & Paintings",False,2000,Hawaiian Collectibles,2000,Hawaiian Collectibles,1.0
35806,Collectible Mexican Masks,False,14342,Mexican Collectibles,14342,Mexican Collectibles,1.0
35807,US Native American Pipes (Pre-1600),True,13742,US Native American Collectibles (Pre-1600),713,US Native American Collectibles,0.8571428571428571
35808,Collectible Christian Bears & Dolls,False,11668,Christian Collectibles,11668,Christian Collectibles,1.0
35809,Collectible Christian Boxes,False,11668,Christian Collectibles,11668,Christian Collectibles,1.0
35810,Collectible Christian Charms,False,11668,Christian Collectibles,11668,Christian Collectibles,1.0
35816,Collectible Christian Jewelry,False,11668,Christian Collectibles,11668,Christian Collectibles,1.0
35817,Collectible Christian Plates & Plaques,False,11668,Christian Collectibles,11668,Christian Collectibles,1.0
35818,"Collectible Christian Posters, Prints & Pictures",False,11668,Christian Collectibles,11668,Christian Collectibles,1.0
35827,Collectible Judaic Boxes,False,13773,Judaica Collectibles,13773,Judaica Collectibles,1.0
35828,Collectible Judaic Candles,False,13773,Judaica Collectibles,13773,Judaica Collectibles,1.0
35829,Collectible Judaic Cups & Plates,False,13773,Judaica Collectibles,13773,Judaica Collectibles,1.0
35830,Collectible Judaic Pendants & Pins,False,13773,Judaica Collectibles,13773,Judaica Collectibles,1.0
35832,"Collectible Wiccan & Pagan Amulets, Pendants & Charms",False,35831,Wiccan & Pagan Collectibles,35831,Wiccan & Pagan Collectibles,1.0
35833,Collectible Wiccan & Pagan Candles,True,35831,Wiccan & Pagan Collectibles,116109,Wiccan Products,0.0
35834,"Collectible Wiccan & Pagan Incense, Herbs & Oils",True,35831,Wiccan & Pagan Collectibles,116109,Wiccan Products,0.0
35835,Collectible Wiccan & Pagan Pentacles,False,35831,Wiccan & Pagan Collectibles,35831,Wiccan & Pagan Collectibles,1.0
35836,Collectible Wiccan & Pagan Runes & Stones,False,35831,Wiccan & Pagan Collectibles,35831,Wiccan & Pagan Collectibles,1.0
35837,Collectible Wiccan & Pagan Tarot Cards & Bags,False,35831,Wiccan & Pagan Collectibles,35831,Wiccan & Pagan Collectibles,1.0
35838,Collectible Wiccan & Pagan Ceremonial Knives & Daggers,False,35831,Wiccan & Pagan Collectibles,35831,Wiccan & Pagan Collectibles,1.0
35840,"Disney Coats, Jackets & Outerwear (1968-Now)",False,35839,Contemporary Disney Apparel & Accessories (1968-Now),35839,Contemporary Disney Apparel & Accessories (1968-Now),1.0
35841,Disney Costumes (1968-Now),False,35839,Contemporary Disney Apparel & Accessories (1968-Now),35839,Contemporary Disney Apparel & Accessories (1968-Now),1.0
35842,Disney Hats (1968-Now),False,35839,Contemporary Disney Apparel & Accessories (1968-Now),35839,Contemporary Disney Apparel & Accessories (1968-Now),1.0
35843,Disney T-Shirts (1968-Now),False,35839,Contemporary Disney Apparel & Accessories (1968-Now),35839,Contemporary Disney Apparel & Accessories (1968-Now),1.0
35844,Disney Banks (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
35845,Disney Bottles (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
35846,Disney Calendars (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
35847,Disney Clocks & Radios (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
35849,Cinderella Figurines (1968-Now),False,35848,Contemporary Disney Figurines (1968-Now),35848,Contemporary Disney Figurines (1968-Now),1.0
35850,Donald Duck Figurines (1968-Now),False,35848,Contemporary Disney Figurines (1968-Now),35848,Contemporary Disney Figurines (1968-Now),1.0
35851,Goofy Figurines (1968-Now),True,35848,Contemporary Disney Figurines (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),0.8571428571428571
35852,Mickey Mouse Figurines (1968-Now),True,35848,Contemporary Disney Figurines (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),0.8571428571428571
35853,Minnie Mouse Figurines (1968-Now),True,35848,Contemporary Disney Figurines (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),0.8571428571428571
35854,Sleeping Beauty Figurines (1968-Now),False,35848,Contemporary Disney Figurines (1968-Now),35848,Contemporary Disney Figurines (1968-Now),1.0
35855,Snow White Figurines (1968-Now),False,35848,Contemporary Disney Figurines (1968-Now),35848,Contemporary Disney Figurines (1968-Now),1.0
35856,Winnie the Pooh Figurines (1968-Now),False,35848,Contemporary Disney Figurines (1968-Now),35848,Contemporary Disney Figurines (1968-Now),1.0
35857,Disney Frames (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
35858,Disney Keychains (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
35859,Disney Lunchboxes & Thermoses (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
35860,Disney Phones (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
35861,Disney Signs (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
35862,Disney Stickers & Decals (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
35864,Collectible Dragon Themed Armor & Weapons,False,35863,Dragon Collectibles,35863,Dragon Collectibles,1.0
35865,Collectible Dragon Art,False,35863,Dragon Collectibles,35863,Dragon Collectibles,1.0
35866,Collectible Dragon Calendars,False,35863,Dragon Collectibles,35863,Dragon Collectibles,1.0
35867,Collectible Dragon Candles & Incense,False,35863,Dragon Collectibles,35863,Dragon Collectibles,1.0
35868,Collectible Dragon Jewelry,False,35863,Dragon Collectibles,35863,Dragon Collectibles,1.0
35870,Collectible Ceramic Dragon Statues,False,35869,Collectible Dragon Statues,35869,Collectible Dragon Statues,1.0
35871,Collectible Glass & Crystal Dragon Statues,False,35869,Collectible Dragon Statues,35869,Collectible Dragon Statues,1.0
35872,Collectible Pewter Dragon Statues,False,35869,Collectible Dragon Statues,35869,Collectible Dragon Statues,1.0
35875,Collectible Fairy Figures,False,35874,Fairy Collectibles,35874,Fairy Collectibles,1.0
35876,Collectible Fairy Prints & Posters,False,35874,Fairy Collectibles,35874,Fairy Collectibles,1.0
35877,Collectible Magic Posters & Prints,False,14012,Magic Collectibles,14012,Magic Collectibles,1.0
35881,Hess Advertising (Pre-1980),False,35879,Collectible Hess Advertising,35879,Collectible Hess Advertising,1.0
35882,Hess Advertising (1980-1989),False,35879,Collectible Hess Advertising,35879,Collectible Hess Advertising,1.0
35883,Hess Advertising (1990-1994),False,35879,Collectible Hess Advertising,35879,Collectible Hess Advertising,1.0
35884,Hess Advertising (1995-1999),False,35879,Collectible Hess Advertising,35879,Collectible Hess Advertising,1.0
35885,Hess Advertising (2000-Now),True,35879,Collectible Hess Advertising,34,Collectible Advertising,0.5714285714285714
35887,Disney Holiday Ornaments (1968-Now),False,35886,Contemporary Disney Holiday Collectibles (1968-Now),35886,Contemporary Disney Holiday Collectibles (1968-Now),1.0
35888,Disney Holiday Stockings (1968-Now),False,35886,Contemporary Disney Holiday Collectibles (1968-Now),35886,Contemporary Disney Holiday Collectibles (1968-Now),1.0
35890,Collectible Vintage Birthday Cards,False,35889,Collectible Vintage Greeting Cards,35889,Collectible Vintage Greeting Cards,1.0
35891,Collectible Vintage Christmas Cards,False,35889,Collectible Vintage Greeting Cards,35889,Collectible Vintage Greeting Cards,1.0
35892,Collectible Vintage Valentine's Day Cards,False,35889,Collectible Vintage Greeting Cards,35889,Collectible Vintage Greeting Cards,1.0
35930,Collectible American Vehicle Books & Manuals,False,35929,Collectible Vehicle Books & Manuals,35929,Collectible Vehicle Books & Manuals,1.0
35931,Collectible British Vehicle Books & Manuals,False,35929,Collectible Vehicle Books & Manuals,35929,Collectible Vehicle Books & Manuals,1.0
35932,Collectible European Vehicle Books & Manuals,False,35929,Collectible Vehicle Books & Manuals,35929,Collectible Vehicle Books & Manuals,1.0
35935,Collectible Asian Vehicle Brochures & Catalogs,False,35933,Collectible Vehicle Brochures & Catalogs,35933,Collectible Vehicle Brochures & Catalogs,1.0
35936,Collectible British Vehicle Brochures & Catalogs,False,35933,Collectible Vehicle Brochures & Catalogs,35933,Collectible Vehicle Brochures & Catalogs,1.0
35937,Collectible European Vehicle Brochures & Catalogs,False,35933,Collectible Vehicle Brochures & Catalogs,35933,Collectible Vehicle Brochures & Catalogs,1.0
35938,"Collectible Vehicle Dishes, Cups & Mugs",False,14024,Automobilia,14024,Automobilia,1.0
35939,Collectible Vehicle Keychains,False,14024,Automobilia,14024,Automobilia,1.0
35940,Collectible Alaska License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35941,Collectible Connecticut License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35942,Collectible Delaware License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35943,Collectible District of Columbia License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35944,Collectible Georgia License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35945,Collectible Hawaii License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35946,Collectible Idaho License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35947,Collectible Louisiana License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35948,Collectible Maryland License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35949,Collectible Mississippi License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35950,Collectible New Mexico License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35951,Collectible North Dakota License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35952,Collectible Oklahoma License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35953,Collectible Rhode Island License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35954,Collectible Utah License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35955,Collectible Vermont License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35956,Collectible Washington License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35957,Collectible West Virginia License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35958,Collectible Wyoming License Plates,False,14030,Collectible License Plates,14030,Collectible License Plates,1.0
35963,Cunard Ship Collectibles,True,35962,Cruise Ship & Ocean Liner Collectibles,14052,Boat & Ship Collectibles,0.8571428571428571
35964,Holland American Ship Collectibles,True,35962,Cruise Ship & Ocean Liner Collectibles,14052,Boat & Ship Collectibles,0.8571428571428571
35965,White Star & Titanic Ship Collectibles,True,35962,Cruise Ship & Ocean Liner Collectibles,14052,Boat & Ship Collectibles,0.8571428571428571
35967,Collectible Harley-Davidson Badges & Patches,False,35966,Harley-Davidson Collectibles,35966,Harley-Davidson Collectibles,1.0
35968,"Collectible Harley-Davidson Dishes, Cups & Mugs",False,35966,Harley-Davidson Collectibles,35966,Harley-Davidson Collectibles,1.0
35969,Collectible Harley-Davidson Lighters,False,35966,Harley-Davidson Collectibles,35966,Harley-Davidson Collectibles,1.0
35970,Collectible Harley-Davidson Pins & Buttons,False,35966,Harley-Davidson Collectibles,35966,Harley-Davidson Collectibles,1.0
35971,Collectible Harley-Davidson Posters & Prints,False,35966,Harley-Davidson Collectibles,35966,Harley-Davidson Collectibles,1.0
35972,Collectible Harley-Davidson Signs,False,35966,Harley-Davidson Collectibles,35966,Harley-Davidson Collectibles,1.0
35973,Collectible Harley-Davidson Stickers & Decals,False,35966,Harley-Davidson Collectibles,35966,Harley-Davidson Collectibles,1.0
35974,Collectible Railroad Playing Cards,False,4131,Paper Railroad Collectibles,4131,Paper Railroad Collectibles,1.0
35975,Collectible Railroad Photos,False,74724,Collectible Railroad Photographs,74724,Collectible Railroad Photographs,1.0
35977,Collectible Truck Advertising & Print,False,35976,Truck Collectibles,35976,Truck Collectibles,1.0
35978,Collectible Truck Brochures & Pamphlets,False,35976,Truck Collectibles,35976,Truck Collectibles,1.0
35983,Collectible Commercial Perfume Bottles & Tins,False,35982,Perfume Collectibles,35982,Perfume Collectibles,1.0
35984,Collectible Commercial Perfume Miniatures,False,35982,Perfume Collectibles,35982,Perfume Collectibles,1.0
